datekey,Date,Day,DayNb,daynumberofyear,weeknumberofyear,MonthName,MonthNb,Quarter
20180101,2018-01-01,Monday,1,1,1,Jan,1,1
20180102,2018-01-02,Tuesday,2,2,1,Jan,1,1
20180103,2018-01-03,Wednesday,3,3,1,Jan,1,1
20180104,2018-01-04,Thursday,4,4,1,Jan,1,1
20180105,2018-01-05,Friday,5,5,1,Jan,1,1
20180106,2018-01-06,Saturday,6,6,1,Jan,1,1
20180107,2018-01-07,Sunday,7,7,2,Jan,1,1
20180108,2018-01-08,Monday,8,8,2,Jan,1,1
20180109,2018-01-09,Tuesday,9,9,2,Jan,1,1
20180110,2018-01-10,Wednesday,10,10,2,Jan,1,1
20180111,2018-01-11,Thursday,11,11,2,Jan,1,1
20180112,2018-01-12,Friday,12,12,2,Jan,1,1
20180113,2018-01-13,Saturday,13,13,2,Jan,1,1
20180114,2018-01-14,Sunday,14,14,3,Jan,1,1
20180115,2018-01-15,Monday,15,15,3,Jan,1,1
20180116,2018-01-16,Tuesday,16,16,3,Jan,1,1
20180117,2018-01-17,Wednesday,17,17,3,Jan,1,1
20180118,2018-01-18,Thursday,18,18,3,Jan,1,1
20180119,2018-01-19,Friday,19,19,3,Jan,1,1
20180120,2018-01-20,Saturday,20,20,3,Jan,1,1
20180121,2018-01-21,Sunday,21,21,4,Jan,1,1
20180122,2018-01-22,Monday,22,22,4,Jan,1,1
20180123,2018-01-23,Tuesday,23,23,4,Jan,1,1
20180124,2018-01-24,Wednesday,24,24,4,Jan,1,1
20180125,2018-01-25,Thursday,25,25,4,Jan,1,1
20180126,2018-01-26,Friday,26,26,4,Jan,1,1
20180127,2018-01-27,Saturday,27,27,4,Jan,1,1
20180128,2018-01-28,Sunday,28,28,5,Jan,1,1
20180129,2018-01-29,Monday,29,29,5,Jan,1,1
20180130,2018-01-30,Tuesday,30,30,5,Jan,1,1
20180131,2018-01-31,Wednesday,31,31,5,Jan,1,1
20180201,2018-02-01,Thursday,1,32,5,Feb,2,1
20180202,2018-02-02,Friday,2,33,5,Feb,2,1
20180203,2018-02-03,Saturday,3,34,5,Feb,2,1
20180204,2018-02-04,Sunday,4,35,6,Feb,2,1
20180205,2018-02-05,Monday,5,36,6,Feb,2,1
20180206,2018-02-06,Tuesday,6,37,6,Feb,2,1
20180207,2018-02-07,Wednesday,7,38,6,Feb,2,1
20180208,2018-02-08,Thursday,8,39,6,Feb,2,1
20180209,2018-02-09,Friday,9,40,6,Feb,2,1
20180210,2018-02-10,Saturday,10,41,6,Feb,2,1
20180211,2018-02-11,Sunday,11,42,7,Feb,2,1
20180212,2018-02-12,Monday,12,43,7,Feb,2,1
20180213,2018-02-13,Tuesday,13,44,7,Feb,2,1
20180214,2018-02-14,Wednesday,14,45,7,Feb,2,1
20180215,2018-02-15,Thursday,15,46,7,Feb,2,1
20180216,2018-02-16,Friday,16,47,7,Feb,2,1
20180217,2018-02-17,Saturday,17,48,7,Feb,2,1
20180218,2018-02-18,Sunday,18,49,8,Feb,2,1
20180219,2018-02-19,Monday,19,50,8,Feb,2,1
20180220,2018-02-20,Tuesday,20,51,8,Feb,2,1
20180221,2018-02-21,Wednesday,21,52,8,Feb,2,1
20180222,2018-02-22,Thursday,22,53,8,Feb,2,1
20180223,2018-02-23,Friday,23,54,8,Feb,2,1
20180224,2018-02-24,Saturday,24,55,8,Feb,2,1
20180225,2018-02-25,Sunday,25,56,9,Feb,2,1
20180226,2018-02-26,Monday,26,57,9,Feb,2,1
20180227,2018-02-27,Tuesday,27,58,9,Feb,2,1
20180228,2018-02-28,Wednesday,28,59,9,Feb,2,1
20180301,2018-03-01,Thursday,1,60,9,Mar,3,1
20180302,2018-03-02,Friday,2,61,9,Mar,3,1
20180303,2018-03-03,Saturday,3,62,9,Mar,3,1
20180304,2018-03-04,Sunday,4,63,10,Mar,3,1
20180305,2018-03-05,Monday,5,64,10,Mar,3,1
20180306,2018-03-06,Tuesday,6,65,10,Mar,3,1
20180307,2018-03-07,Wednesday,7,66,10,Mar,3,1
20180308,2018-03-08,Thursday,8,67,10,Mar,3,1
20180309,2018-03-09,Friday,9,68,10,Mar,3,1
20180310,2018-03-10,Saturday,10,69,10,Mar,3,1
20180311,2018-03-11,Sunday,11,70,11,Mar,3,1
20180312,2018-03-12,Monday,12,71,11,Mar,3,1
20180313,2018-03-13,Tuesday,13,72,11,Mar,3,1
20180314,2018-03-14,Wednesday,14,73,11,Mar,3,1
20180315,2018-03-15,Thursday,15,74,11,Mar,3,1
20180316,2018-03-16,Friday,16,75,11,Mar,3,1
20180317,2018-03-17,Saturday,17,76,11,Mar,3,1
20180318,2018-03-18,Sunday,18,77,12,Mar,3,1
20180319,2018-03-19,Monday,19,78,12,Mar,3,1
20180320,2018-03-20,Tuesday,20,79,12,Mar,3,1
20180321,2018-03-21,Wednesday,21,80,12,Mar,3,1
20180322,2018-03-22,Thursday,22,81,12,Mar,3,1
20180323,2018-03-23,Friday,23,82,12,Mar,3,1
20180324,2018-03-24,Saturday,24,83,12,Mar,3,1
20180325,2018-03-25,Sunday,25,84,13,Mar,3,1
20180326,2018-03-26,Monday,26,85,13,Mar,3,1
20180327,2018-03-27,Tuesday,27,86,13,Mar,3,1
20180328,2018-03-28,Wednesday,28,87,13,Mar,3,1
20180329,2018-03-29,Thursday,29,88,13,Mar,3,1
20180330,2018-03-30,Friday,30,89,13,Mar,3,1
20180331,2018-03-31,Saturday,31,90,13,Mar,3,1
20180401,2018-04-01,Sunday,1,91,14,Apr,4,2
20180402,2018-04-02,Monday,2,92,14,Apr,4,2
20180403,2018-04-03,Tuesday,3,93,14,Apr,4,2
20180404,2018-04-04,Wednesday,4,94,14,Apr,4,2
20180405,2018-04-05,Thursday,5,95,14,Apr,4,2
20180406,2018-04-06,Friday,6,96,14,Apr,4,2
20180407,2018-04-07,Saturday,7,97,14,Apr,4,2
20180408,2018-04-08,Sunday,8,98,15,Apr,4,2
20180409,2018-04-09,Monday,9,99,15,Apr,4,2
20180410,2018-04-10,Tuesday,10,100,15,Apr,4,2
20180411,2018-04-11,Wednesday,11,101,15,Apr,4,2
20180412,2018-04-12,Thursday,12,102,15,Apr,4,2
20180413,2018-04-13,Friday,13,103,15,Apr,4,2
20180414,2018-04-14,Saturday,14,104,15,Apr,4,2
20180415,2018-04-15,Sunday,15,105,16,Apr,4,2
20180416,2018-04-16,Monday,16,106,16,Apr,4,2
20180417,2018-04-17,Tuesday,17,107,16,Apr,4,2
20180418,2018-04-18,Wednesday,18,108,16,Apr,4,2
20180419,2018-04-19,Thursday,19,109,16,Apr,4,2
20180420,2018-04-20,Friday,20,110,16,Apr,4,2
20180421,2018-04-21,Saturday,21,111,16,Apr,4,2
20180422,2018-04-22,Sunday,22,112,17,Apr,4,2
20180423,2018-04-23,Monday,23,113,17,Apr,4,2
20180424,2018-04-24,Tuesday,24,114,17,Apr,4,2
20180425,2018-04-25,Wednesday,25,115,17,Apr,4,2
20180426,2018-04-26,Thursday,26,116,17,Apr,4,2
20180427,2018-04-27,Friday,27,117,17,Apr,4,2
20180428,2018-04-28,Saturday,28,118,17,Apr,4,2
20180429,2018-04-29,Sunday,29,119,18,Apr,4,2
20180430,2018-04-30,Monday,30,120,18,Apr,4,2
20180501,2018-05-01,Tuesday,1,121,18,May,5,2
20180502,2018-05-02,Wednesday,2,122,18,May,5,2
20180503,2018-05-03,Thursday,3,123,18,May,5,2
20180504,2018-05-04,Friday,4,124,18,May,5,2
20180505,2018-05-05,Saturday,5,125,18,May,5,2
20180506,2018-05-06,Sunday,6,126,19,May,5,2
20180507,2018-05-07,Monday,7,127,19,May,5,2
20180508,2018-05-08,Tuesday,8,128,19,May,5,2
20180509,2018-05-09,Wednesday,9,129,19,May,5,2
20180510,2018-05-10,Thursday,10,130,19,May,5,2
20180511,2018-05-11,Friday,11,131,19,May,5,2
20180512,2018-05-12,Saturday,12,132,19,May,5,2
20180513,2018-05-13,Sunday,13,133,20,May,5,2
20180514,2018-05-14,Monday,14,134,20,May,5,2
20180515,2018-05-15,Tuesday,15,135,20,May,5,2
20180516,2018-05-16,Wednesday,16,136,20,May,5,2
20180517,2018-05-17,Thursday,17,137,20,May,5,2
20180518,2018-05-18,Friday,18,138,20,May,5,2
20180519,2018-05-19,Saturday,19,139,20,May,5,2
20180520,2018-05-20,Sunday,20,140,21,May,5,2
20180521,2018-05-21,Monday,21,141,21,May,5,2
20180522,2018-05-22,Tuesday,22,142,21,May,5,2
20180523,2018-05-23,Wednesday,23,143,21,May,5,2
20180524,2018-05-24,Thursday,24,144,21,May,5,2
20180525,2018-05-25,Friday,25,145,21,May,5,2
20180526,2018-05-26,Saturday,26,146,21,May,5,2
20180527,2018-05-27,Sunday,27,147,22,May,5,2
20180528,2018-05-28,Monday,28,148,22,May,5,2
20180529,2018-05-29,Tuesday,29,149,22,May,5,2
20180530,2018-05-30,Wednesday,30,150,22,May,5,2
20180531,2018-05-31,Thursday,31,151,22,May,5,2
20180601,2018-06-01,Friday,1,152,22,Jun,6,2
20180602,2018-06-02,Saturday,2,153,22,Jun,6,2
20180603,2018-06-03,Sunday,3,154,23,Jun,6,2
20180604,2018-06-04,Monday,4,155,23,Jun,6,2
20180605,2018-06-05,Tuesday,5,156,23,Jun,6,2
20180606,2018-06-06,Wednesday,6,157,23,Jun,6,2
20180607,2018-06-07,Thursday,7,158,23,Jun,6,2
20180608,2018-06-08,Friday,8,159,23,Jun,6,2
20180609,2018-06-09,Saturday,9,160,23,Jun,6,2
20180610,2018-06-10,Sunday,10,161,24,Jun,6,2
20180611,2018-06-11,Monday,11,162,24,Jun,6,2
20180612,2018-06-12,Tuesday,12,163,24,Jun,6,2
20180613,2018-06-13,Wednesday,13,164,24,Jun,6,2
20180614,2018-06-14,Thursday,14,165,24,Jun,6,2
20180615,2018-06-15,Friday,15,166,24,Jun,6,2
20180616,2018-06-16,Saturday,16,167,24,Jun,6,2
20180617,2018-06-17,Sunday,17,168,25,Jun,6,2
20180618,2018-06-18,Monday,18,169,25,Jun,6,2
20180619,2018-06-19,Tuesday,19,170,25,Jun,6,2
20180620,2018-06-20,Wednesday,20,171,25,Jun,6,2
20180621,2018-06-21,Thursday,21,172,25,Jun,6,2
20180622,2018-06-22,Friday,22,173,25,Jun,6,2
20180623,2018-06-23,Saturday,23,174,25,Jun,6,2
20180624,2018-06-24,Sunday,24,175,26,Jun,6,2
20180625,2018-06-25,Monday,25,176,26,Jun,6,2
20180626,2018-06-26,Tuesday,26,177,26,Jun,6,2
20180627,2018-06-27,Wednesday,27,178,26,Jun,6,2
20180628,2018-06-28,Thursday,28,179,26,Jun,6,2
20180629,2018-06-29,Friday,29,180,26,Jun,6,2
20180630,2018-06-30,Saturday,30,181,26,Jun,6,2
20180701,2018-07-01,Sunday,1,182,27,Jul,7,3
20180702,2018-07-02,Monday,2,183,27,Jul,7,3
20180703,2018-07-03,Tuesday,3,184,27,Jul,7,3
20180704,2018-07-04,Wednesday,4,185,27,Jul,7,3
20180705,2018-07-05,Thursday,5,186,27,Jul,7,3
20180706,2018-07-06,Friday,6,187,27,Jul,7,3
20180707,2018-07-07,Saturday,7,188,27,Jul,7,3
20180708,2018-07-08,Sunday,8,189,28,Jul,7,3
20180709,2018-07-09,Monday,9,190,28,Jul,7,3
20180710,2018-07-10,Tuesday,10,191,28,Jul,7,3
20180711,2018-07-11,Wednesday,11,192,28,Jul,7,3
20180712,2018-07-12,Thursday,12,193,28,Jul,7,3
20180713,2018-07-13,Friday,13,194,28,Jul,7,3
20180714,2018-07-14,Saturday,14,195,28,Jul,7,3
20180715,2018-07-15,Sunday,15,196,29,Jul,7,3
20180716,2018-07-16,Monday,16,197,29,Jul,7,3
