ProductKey,OrderDateKey,CustomerKey,UnitPrice,SalesAmount,EnglishPromotionType
314,20200101,27606,3578.27,3578.27,No Discount
311,20200101,13513,3578.27,3578.27,No Discount
310,20200102,27601,3578.27,3578.27,No Discount
311,20200102,13591,3578.27,3578.27,No Discount
314,20200102,16483,3578.27,3578.27,No Discount
311,20200102,16529,3578.27,3578.27,No Discount
336,20200102,25249,699.0982,699.0982,No Discount
311,20200103,27668,3578.27,3578.27,No Discount
312,20200103,27612,3578.27,3578.27,No Discount
311,20200103,13264,3578.27,3578.27,No Discount
310,20200103,13590,3578.27,3578.27,No Discount
312,20200104,13581,3578.27,3578.27,No Discount
332,20200104,14520,699.0982,699.0982,No Discount
311,20200104,16520,3578.27,3578.27,No Discount
311,20200105,13258,3578.27,3578.27,No Discount
332,20200105,14560,699.0982,699.0982,No Discount
311,20200105,16607,3578.27,3578.27,No Discount
313,20200106,27666,3578.27,3578.27,No Discount
346,20200106,11238,3399.99,3399.99,No Discount
346,20200106,25861,3399.99,3399.99,No Discount
314,20200106,16629,3578.27,3578.27,No Discount
350,20200106,11025,3374.99,3374.99,No Discount
312,20200106,27577,3578.27,3578.27,No Discount
312,20200107,27604,3578.27,3578.27,No Discount
310,20200107,16522,3578.27,3578.27,No Discount
346,20200107,11002,3399.99,3399.99,No Discount
311,20200108,13261,3578.27,3578.27,No Discount
312,20200108,11606,3578.27,3578.27,No Discount
310,20200108,13563,3578.27,3578.27,No Discount
312,20200108,16527,3578.27,3578.27,No Discount
310,20200109,27671,3578.27,3578.27,No Discount
314,20200109,13576,3578.27,3578.27,No Discount
347,20200109,11007,3399.99,3399.99,No Discount
313,20200109,16631,3578.27,3578.27,No Discount
311,20200110,16514,3578.27,3578.27,No Discount
312,20200110,16616,3578.27,3578.27,No Discount
314,20200111,27623,3578.27,3578.27,No Discount
313,20200111,27625,3578.27,3578.27,No Discount
314,20200111,27636,3578.27,3578.27,No Discount
311,20200111,11591,3578.27,3578.27,No Discount
313,20200111,11592,3578.27,3578.27,No Discount
311,20200111,13265,3578.27,3578.27,No Discount
310,20200111,16482,3578.27,3578.27,No Discount
312,20200112,27617,3578.27,3578.27,No Discount
311,20200112,27670,3578.27,3578.27,No Discount
332,20200112,19941,699.0982,699.0982,No Discount
350,20200112,11017,3374.99,3374.99,No Discount
310,20200113,27646,3578.27,3578.27,No Discount
310,20200113,13257,3578.27,3578.27,No Discount
314,20200113,16352,3578.27,3578.27,No Discount
310,20200113,16493,3578.27,3578.27,No Discount
314,20200114,27578,3578.27,3578.27,No Discount
313,20200114,16525,3578.27,3578.27,No Discount
310,20200114,16612,3578.27,3578.27,No Discount
346,20200114,11010,3399.99,3399.99,No Discount
313,20200115,16518,3578.27,3578.27,No Discount
350,20200115,11001,3374.99,3374.99,No Discount
312,20200116,27649,3578.27,3578.27,No Discount
312,20200116,21659,3578.27,3578.27,No Discount
312,20200116,27614,3578.27,3578.27,No Discount
330,20200116,14559,699.0982,699.0982,No Discount
312,20200116,16524,3578.27,3578.27,No Discount
314,20200116,16526,3578.27,3578.27,No Discount
313,20200116,16348,3578.27,3578.27,No Discount
347,20200116,11027,3399.99,3399.99,No Discount
314,20200117,13260,3578.27,3578.27,No Discount
311,20200117,16515,3578.27,3578.27,No Discount
345,20200117,11018,3399.99,3399.99,No Discount
326,20200117,25252,699.0982,699.0982,No Discount
311,20200118,11599,3578.27,3578.27,No Discount
312,20200118,16495,3578.27,3578.27,No Discount
312,20200118,16516,3578.27,3578.27,No Discount
312,20200118,16620,3578.27,3578.27,No Discount
310,20200119,27667,3578.27,3578.27,No Discount
311,20200119,11601,3578.27,3578.27,No Discount
311,20200119,11607,3578.27,3578.27,No Discount
344,20200119,29385,3399.99,3399.99,No Discount
351,20200119,11239,3374.99,3374.99,No Discount
351,20200119,25865,3374.99,3374.99,No Discount
344,20200119,25857,3399.99,3399.99,No Discount
314,20200119,16484,3578.27,3578.27,No Discount
312,20200119,16623,3578.27,3578.27,No Discount
344,20200119,11000,3399.99,3399.99,No Discount
347,20200119,11029,3399.99,3399.99,No Discount
312,20200120,27615,3578.27,3578.27,No Discount
342,20200120,17956,699.0982,699.0982,No Discount
312,20200120,16345,3578.27,3578.27,No Discount
310,20200120,16521,3578.27,3578.27,No Discount
312,20200120,16636,3578.27,3578.27,No Discount
311,20200121,21710,3578.27,3578.27,No Discount
311,20200121,13583,3578.27,3578.27,No Discount
312,20200121,11593,3578.27,3578.27,No Discount
314,20200122,21741,3578.27,3578.27,No Discount
310,20200122,13585,3578.27,3578.27,No Discount
328,20200122,14510,699.0982,699.0982,No Discount
312,20200122,16523,3578.27,3578.27,No Discount
312,20200123,11611,3578.27,3578.27,No Discount
313,20200123,13259,3578.27,3578.27,No Discount
310,20200123,16350,3578.27,3578.27,No Discount
345,20200123,11004,3399.99,3399.99,No Discount
